[epoch: 1, batch: 8] train_loss: 1612.370,  Leraning Rate: 0.000300
[epoch: 2, batch: 8] train_loss: 845.458,  Leraning Rate: 0.000300
[epoch: 3, batch: 8] train_loss: 737.082,  Leraning Rate: 0.000300
[epoch: 4, batch: 8] train_loss: 686.927,  Leraning Rate: 0.000300
[epoch: 5, batch: 8] train_loss: 672.529,  Leraning Rate: 0.000300
[epoch: 6, batch: 8] train_loss: 590.827,  Leraning Rate: 0.000300
[epoch: 7, batch: 8] train_loss: 537.869,  Leraning Rate: 0.000300
[epoch: 8, batch: 8] train_loss: 535.855,  Leraning Rate: 0.000300
[epoch: 9, batch: 8] train_loss: 526.314,  Leraning Rate: 0.000300
[epoch: 10, batch: 8] train_loss: 495.418,  Leraning Rate: 0.000300
[epoch: 11, batch: 8] train_loss: 484.116,  Leraning Rate: 0.000300
[epoch: 12, batch: 8] train_loss: 444.531,  Leraning Rate: 0.000300
[epoch: 13, batch: 8] train_loss: 418.961,  Leraning Rate: 0.000300
[epoch: 14, batch: 8] train_loss: 386.695,  Leraning Rate: 0.000300
[epoch: 15, batch: 8] train_loss: 388.680,  Leraning Rate: 0.000300
[epoch: 16, batch: 8] train_loss: 382.488,  Leraning Rate: 0.000300
[epoch: 17, batch: 8] train_loss: 353.264,  Leraning Rate: 0.000300
[epoch: 18, batch: 8] train_loss: 351.610,  Leraning Rate: 0.000300
[epoch: 19, batch: 8] train_loss: 350.105,  Leraning Rate: 0.000300
[epoch: 20, batch: 8] train_loss: 331.312,  Leraning Rate: 0.000300
[epoch: 21, batch: 8] train_loss: 322.797,  Leraning Rate: 0.000300
[epoch: 22, batch: 8] train_loss: 330.358,  Leraning Rate: 0.000300
[epoch: 23, batch: 8] train_loss: 289.701,  Leraning Rate: 0.000300
[epoch: 24, batch: 8] train_loss: 291.435,  Leraning Rate: 0.000300
[epoch: 25, batch: 8] train_loss: 272.740,  Leraning Rate: 0.000300
[epoch: 26, batch: 8] train_loss: 267.600,  Leraning Rate: 0.000300
[epoch: 27, batch: 8] train_loss: 262.335,  Leraning Rate: 0.000300
[epoch: 28, batch: 8] train_loss: 268.793,  Leraning Rate: 0.000300
[epoch: 29, batch: 8] train_loss: 235.994,  Leraning Rate: 0.000300
[epoch: 30, batch: 8] train_loss: 256.778,  Leraning Rate: 0.000195
[epoch: 31, batch: 8] train_loss: 186.669,  Leraning Rate: 0.000195
[epoch: 32, batch: 8] train_loss: 162.164,  Leraning Rate: 0.000195
[epoch: 33, batch: 8] train_loss: 158.724,  Leraning Rate: 0.000195
[epoch: 34, batch: 8] train_loss: 149.034,  Leraning Rate: 0.000195
[epoch: 35, batch: 8] train_loss: 137.145,  Leraning Rate: 0.000195
[epoch: 36, batch: 8] train_loss: 134.520,  Leraning Rate: 0.000195
[epoch: 37, batch: 8] train_loss: 123.042,  Leraning Rate: 0.000195
[epoch: 38, batch: 8] train_loss: 114.985,  Leraning Rate: 0.000195
[epoch: 39, batch: 8] train_loss: 105.544,  Leraning Rate: 0.000195
[epoch: 40, batch: 8] train_loss: 95.739,  Leraning Rate: 0.000195
[epoch: 41, batch: 8] train_loss: 83.170,  Leraning Rate: 0.000195
[epoch: 42, batch: 8] train_loss: 81.181,  Leraning Rate: 0.000195
[epoch: 43, batch: 8] train_loss: 86.779,  Leraning Rate: 0.000195
[epoch: 44, batch: 8] train_loss: 63.341,  Leraning Rate: 0.000195
[epoch: 45, batch: 8] train_loss: 61.599,  Leraning Rate: 0.000195
[epoch: 46, batch: 8] train_loss: 59.368,  Leraning Rate: 0.000195
[epoch: 47, batch: 8] train_loss: 54.143,  Leraning Rate: 0.000195
[epoch: 48, batch: 8] train_loss: 57.703,  Leraning Rate: 0.000195
[epoch: 49, batch: 8] train_loss: 56.505,  Leraning Rate: 0.000195
[epoch: 50, batch: 8] train_loss: 52.112,  Leraning Rate: 0.000195
[epoch: 51, batch: 8] train_loss: 46.845,  Leraning Rate: 0.000195
[epoch: 52, batch: 8] train_loss: 41.244,  Leraning Rate: 0.000195
[epoch: 53, batch: 8] train_loss: 43.876,  Leraning Rate: 0.000195
[epoch: 54, batch: 8] train_loss: 37.515,  Leraning Rate: 0.000195
[epoch: 55, batch: 8] train_loss: 34.249,  Leraning Rate: 0.000195
[epoch: 56, batch: 8] train_loss: 42.724,  Leraning Rate: 0.000195
[epoch: 57, batch: 8] train_loss: 42.211,  Leraning Rate: 0.000195
[epoch: 58, batch: 8] train_loss: 33.666,  Leraning Rate: 0.000195
[epoch: 59, batch: 8] train_loss: 33.683,  Leraning Rate: 0.000195
[epoch: 60, batch: 8] train_loss: 33.795,  Leraning Rate: 0.000127
[epoch: 61, batch: 8] train_loss: 23.945,  Leraning Rate: 0.000127
[epoch: 62, batch: 8] train_loss: 12.352,  Leraning Rate: 0.000127
[epoch: 63, batch: 8] train_loss: 9.368,  Leraning Rate: 0.000127
[epoch: 64, batch: 8] train_loss: 9.746,  Leraning Rate: 0.000127
